precision: 0.641, best precision: 0.641
precision: 0.641, best precision: 0.641
precision: 0.641, best precision: 0.641
precision: 0.641, best precision: 0.641
precision: 0.641, best precision: 0.641
precision: 0.642, best precision: 0.642
precision: 0.642, best precision: 0.642
precision: 0.642, best precision: 0.642
precision: 0.642, best precision: 0.642
precision: 0.642, best precision: 0.642
precision: 0.642, best precision: 0.642
precision: 0.643, best precision: 0.643
precision: 0.643, best precision: 0.643
precision: 0.643, best precision: 0.643
precision: 0.643, best precision: 0.643
precision: 0.643, best precision: 0.643
precision: 0.643, best precision: 0.643
precision: 0.643, best precision: 0.643
precision: 0.643, best precision: 0.643
precision: 0.644, best precision: 0.644
precision: 0.644, best precision: 0.644
precision: 0.644, best precision: 0.644
precision: 0.644, best precision: 0.644
precision: 0.644, best precision: 0.644
precision: 0.644, best precision: 0.644
precision: 0.644, best precision: 0.644
precision: 0.644, best precision: 0.644
precision: 0.644, best precision: 0.644
precision: 0.644, best precision: 0.644
precision: 0.645, best precision: 0.645
precision: 0.645, best precision: 0.645
precision: 0.645, best precision: 0.645
precision: 0.645, best precision: 0.645
precision: 0.645, best precision: 0.645
precision: 0.645, best precision: 0.645
precision: 0.645, best precision: 0.645
precision: 0.645, best precision: 0.645
precision: 0.645, best precision: 0.645
precision: 0.646, best precision: 0.646
precision: 0.646, best precision: 0.646
precision: 0.646, best precision: 0.646
precision: 0.646, best precision: 0.646
precision: 0.646, best precision: 0.646
precision: 0.646, best precision: 0.646
precision: 0.646, best precision: 0.646
precision: 0.646, best precision: 0.646
precision: 0.647, best precision: 0.647
precision: 0.647, best precision: 0.647
precision: 0.647, best precision: 0.647
precision: 0.647, best precision: 0.647
precision: 0.647, best precision: 0.647
precision: 0.647, best precision: 0.647
precision: 0.647, best precision: 0.647
precision: 0.647, best precision: 0.647
precision: 0.647, best precision: 0.647
precision: 0.648, best precision: 0.648
precision: 0.648, best precision: 0.648
precision: 0.648, best precision: 0.648
precision: 0.648, best precision: 0.648
precision: 0.648, best precision: 0.648
precision: 0.648, best precision: 0.648
precision: 0.648, best precision: 0.648
precision: 0.648, best precision: 0.648
precision: 0.648, best precision: 0.648
precision: 0.648, best precision: 0.648
precision: 0.648, best precision: 0.648
precision: 0.649, best precision: 0.649
precision: 0.649, best precision: 0.649
precision: 0.649, best precision: 0.649
precision: 0.649, best precision: 0.649
precision: 0.649, best precision: 0.649
precision: 0.649, best precision: 0.649
precision: 0.649, best precision: 0.649
precision: 0.649, best precision: 0.649
precision: 0.649, best precision: 0.649
precision: 0.649, best precision: 0.649
precision: 0.650, best precision: 0.650
precision: 0.650, best precision: 0.650
precision: 0.650, best precision: 0.650
precision: 0.650, best precision: 0.650
precision: 0.650, best precision: 0.650
precision: 0.650, best precision: 0.650
precision: 0.650, best precision: 0.650
precision: 0.650, best precision: 0.650
precision: 0.650, best precision: 0.650
precision: 0.650, best precision: 0.650
precision: 0.650, best precision: 0.650
precision: 0.650, best precision: 0.650
precision: 0.650, best precision: 0.650
precision: 0.651, best precision: 0.651
precision: 0.651, best precision: 0.651
precision: 0.651, best precision: 0.651
precision: 0.651, best precision: 0.651
precision: 0.651, best precision: 0.651
precision: 0.651, best precision: 0.651
precision: 0.651, best precision: 0.651
precision: 0.651, best precision: 0.651
precision: 0.651, best precision: 0.651
precision: 0.651, best precision: 0.651
precision: 0.651, best precision: 0.651
precision: 0.651, best precision: 0.651
precision: 0.651, best precision: 0.651
precision: 0.652, best precision: 0.652
precision: 0.652, best precision: 0.652
precision: 0.652, best precision: 0.652
precision: 0.652, best precision: 0.652
precision: 0.652, best precision: 0.652
precision: 0.652, best precision: 0.652
precision: 0.652, best precision: 0.652
precision: 0.652, best precision: 0.652
precision: 0.652, best precision: 0.652
precision: 0.652, best precision: 0.652
precision: 0.652, best precision: 0.652
precision: 0.652, best precision: 0.652
precision: 0.652, best precision: 0.652
precision: 0.652, best precision: 0.652
precision: 0.653, best precision: 0.653
precision: 0.653, best precision: 0.653
precision: 0.653, best precision: 0.653
precision: 0.653, best precision: 0.653
precision: 0.653, best precision: 0.653
precision: 0.653, best precision: 0.653
precision: 0.653, best precision: 0.653
precision: 0.653, best precision: 0.653
precision: 0.653, best precision: 0.653
precision: 0.653, best precision: 0.653
precision: 0.653, best precision: 0.653
precision: 0.653, best precision: 0.653
precision: 0.653, best precision: 0.653
precision: 0.653, best precision: 0.653
precision: 0.653, best precision: 0.653
precision: 0.654, best precision: 0.654
precision: 0.654, best precision: 0.654
precision: 0.654, best precision: 0.654
precision: 0.654, best precision: 0.654
precision: 0.654, best precision: 0.654
precision: 0.654, best precision: 0.654
precision: 0.654, best precision: 0.654
precision: 0.654, best precision: 0.654
precision: 0.654, best precision: 0.654
precision: 0.654, best precision: 0.654
precision: 0.654, best precision: 0.654
precision: 0.654, best precision: 0.654
precision: 0.655, best precision: 0.655
precision: 0.655, best precision: 0.655
precision: 0.655, best precision: 0.655
precision: 0.655, best precision: 0.655
precision: 0.655, best precision: 0.655
precision: 0.655, best precision: 0.655
precision: 0.655, best precision: 0.655
precision: 0.655, best precision: 0.655
precision: 0.655, best precision: 0.655
precision: 0.655, best precision: 0.655
precision: 0.655, best precision: 0.655
precision: 0.655, best precision: 0.655
precision: 0.655, best precision: 0.655
precision: 0.655, best precision: 0.655
precision: 0.656, best precision: 0.656
precision: 0.656, best precision: 0.656
precision: 0.656, best precision: 0.656
precision: 0.656, best precision: 0.656
precision: 0.656, best precision: 0.656
precision: 0.656, best precision: 0.656
precision: 0.656, best precision: 0.656
precision: 0.656, best precision: 0.656
precision: 0.656, best precision: 0.656
precision: 0.656, best precision: 0.656
precision: 0.656, best precision: 0.656
precision: 0.656, best precision: 0.656
precision: 0.656, best precision: 0.656
precision: 0.656, best precision: 0.656
precision: 0.656, best precision: 0.656
precision: 0.657, best precision: 0.657
precision: 0.657, best precision: 0.657
precision: 0.657, best precision: 0.657
precision: 0.657, best precision: 0.657
precision: 0.657, best precision: 0.657
precision: 0.657, best precision: 0.657
precision: 0.657, best precision: 0.657
precision: 0.657, best precision: 0.657
precision: 0.657, best precision: 0.657
precision: 0.657, best precision: 0.657
precision: 0.657, best precision: 0.657
precision: 0.657, best precision: 0.657
precision: 0.657, best precision: 0.657
precision: 0.657, best precision: 0.657
precision: 0.657, best precision: 0.657
precision: 0.657, best precision: 0.657
precision: 0.657, best precision: 0.657
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.658, best precision: 0.658
precision: 0.659, best precision: 0.659

